2025-08-11 10:53:34.430 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:537ms 登录成功
2025-08-11 10:55:16.059 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:2ms 获取用户上传文件成功
2025-08-11 10:55:35.974 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:234ms 分片上传成功
2025-08-11 10:55:36.223 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:235ms 文件合并成功
2025-08-11 10:56:01.707 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:1ms 获取用户信息成功
2025-08-11 10:56:01.971 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:2ms 获取对话历史成功
2025-08-11 10:56:02.620 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:1ms 获取用户信息成功
2025-08-11 10:56:03.307 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:8ms 管理员查询对话历史成功
2025-08-11 10:56:06.680 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:1ms 获取用户信息成功
2025-08-11 10:56:06.944 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:4ms 获取对话历史成功
2025-08-11 11:05:42.415 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:5ms 登录失败: Invalid username or password
2025-08-11 11:06:09.974 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:94ms 登录成功
2025-08-11 11:06:10.303 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-08-11 11:06:10.563 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-08-11 11:06:10.645 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:6ms 获取对话历史成功
2025-08-11 11:18:56.706 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
